theta_deg,x_mm,y_mm
0.000,103.1106,0.6851
1.000,106.6222,0.6901
2.000,110.1456,0.6924
3.000,113.6808,0.6921
4.000,117.2276,0.6892
5.000,120.7861,0.6836
6.000,124.3563,0.6755
7.000,127.9380,0.6648
8.000,131.5313,0.6517
9.000,135.1361,0.6363
10.000,138.7521,0.6186
11.000,142.3794,0.5988
12.000,146.0178,0.5771
13.000,149.6672,0.5536
14.000,153.3273,0.5284
15.000,156.9980,0.5018
16.000,160.6791,0.4740
17.000,164.3703,0.4451
18.000,168.0714,0.4155
19.000,171.7821,0.3853
20.000,175.5021,0.3549
21.000,179.2311,0.3244
22.000,182.9688,0.2942
23.000,186.7147,0.2646
24.000,190.4685,0.2358
25.000,194.2298,0.2081
26.000,197.9981,0.1819
27.000,201.7730,0.1574
28.000,205.5541,0.1350
29.000,209.3407,0.1150
30.000,213.1324,0.0977
31.000,216.9287,0.0834
32.000,220.7290,0.0725
33.000,224.5326,0.0653
34.000,228.3390,0.0622
35.000,232.1476,0.0633
36.000,235.9577,0.0692
37.000,239.7687,0.0800
38.000,243.5798,0.0961
39.000,247.3903,0.1178
40.000,251.1996,0.1454
41.000,255.0068,0.1793
42.000,258.8113,0.2196
43.000,262.6122,0.2668
44.000,266.4088,0.3210
45.000,270.2002,0.3825
46.000,273.9856,0.4517
47.000,277.7642,0.5287
48.000,281.5350,0.6137
49.000,285.2973,0.7071
50.000,289.0500,0.8091
51.000,292.7924,0.9198
52.000,296.5234,1.0394
53.000,300.2421,1.1681
54.000,303.9476,1.3062
55.000,307.6389,1.4537
56.000,311.3149,1.6109
57.000,314.9748,1.7778
58.000,318.6173,1.9545
59.000,322.2416,2.1413
60.000,325.8465,2.3381
61.000,329.4310,2.5451
62.000,332.9940,2.7623
63.000,336.5343,2.9899
64.000,340.0509,3.2277
65.000,343.5425,3.4759
66.000,347.0081,3.7345
67.000,350.4465,4.0035
68.000,353.8564,4.2828
69.000,357.2367,4.5725
70.000,360.5861,4.8725
71.000,363.9034,5.1828
72.000,367.1872,5.5032
73.000,370.4364,5.8337
74.000,373.6496,6.1743
75.000,376.8255,6.5247
76.000,379.9626,6.8850
77.000,383.0597,7.2549
78.000,386.1154,7.6343
79.000,389.1283,8.0232
80.000,392.0968,8.4212
81.000,395.0196,8.8282
82.000,397.8951,9.2441
83.000,400.7220,9.6687
84.000,403.4985,10.1017
85.000,406.2233,10.5429
86.000,408.8946,10.9921
87.000,411.5110,11.4492
88.000,414.0707,11.9138
89.000,416.5721,12.3857
90.000,419.0136,12.8647
91.000,421.3934,13.3505
92.000,423.7098,13.8429
93.000,425.9610,14.3416
94.000,428.1452,14.8463
95.000,430.2606,15.3569
96.000,432.3053,15.8731
97.000,434.2776,16.3945
98.000,436.1753,16.9210
99.000,437.9967,17.4524
100.000,439.7397,17.9884
101.000,441.4023,18.5287
102.000,442.9824,19.0733
103.000,444.4781,19.6218
104.000,445.8872,20.1742
105.000,447.2076,20.7302
106.000,448.4371,21.2898
107.000,449.5734,21.8528
108.000,450.6145,22.4191
109.000,451.5580,22.9887
110.000,452.4016,23.5616
111.000,453.1430,24.1378
112.000,453.7799,24.7173
113.000,454.3099,25.3002
114.000,454.7305,25.8867
115.000,455.0394,26.4769
116.000,455.2341,27.0712
117.000,455.3122,27.6698
118.000,455.2710,28.2731
119.000,455.1082,28.8816
120.000,454.8212,29.4957
121.000,454.4075,30.1160
122.000,453.8645,30.7433
123.000,453.1897,31.3784
124.000,452.3805,32.0219
125.000,451.4344,32.6751
126.000,450.3488,33.3388
127.000,449.1214,34.0143
128.000,447.7495,34.7030
129.000,446.2308,35.4061
130.000,444.5629,36.1254
131.000,442.7433,36.8625
132.000,440.7699,37.6192
133.000,438.6403,38.3975
134.000,436.3526,39.1997
135.000,433.9045,40.0280
136.000,431.2943,40.8849
137.000,428.5202,41.7731
138.000,425.5805,42.6955
139.000,422.4737,43.6549
140.000,419.1985,44.6548
141.000,415.7539,45.6984
142.000,412.1391,46.7893
143.000,408.3534,47.9314
144.000,404.3965,49.1286
145.000,400.2684,50.3851
146.000,395.9694,51.7052
147.000,391.5002,53.0934
148.000,386.8619,54.5546
149.000,382.0560,56.0934
150.000,377.0844,57.7150
151.000,371.9497,59.4244
152.000,366.6549,61.2269
153.000,361.2035,63.1279
154.000,355.5998,65.1327
155.000,349.8484,67.2467
156.000,343.9551,69.4754
157.000,337.9260,71.8240
158.000,331.7681,74.2978
159.000,325.4891,76.9019
160.000,319.0977,79.6411
161.000,312.6032,82.5199
162.000,306.0159,85.5423
163.000,299.3468,88.7122
164.000,292.6080,92.0324
165.000,285.8121,95.5053
166.000,278.9728,99.1324
167.000,272.1043,102.9141
168.000,265.2218,106.8496
169.000,258.3406,110.9370
170.000,251.4768,115.1724
171.000,244.6466,119.5503
172.000,237.8664,124.0631
173.000,231.1520,128.7007
174.000,224.5189,133.4501
175.000,217.9816,138.2954
176.000,211.5528,143.2170
177.000,205.2435,148.1914
178.000,199.0619,153.1907
179.000,193.0128,158.1821
180.000,187.0970,163.1280
181.000,181.3104,167.9852
182.000,175.6439,172.7054
183.000,170.0821,177.2352
184.000,164.6039,181.5173
185.000,159.1822,185.4910
186.000,153.7849,189.0946
187.000,148.3755,192.2674
188.000,142.9154,194.9529
189.000,137.3657,197.1014
190.000,131.6898,198.6738
191.000,125.8559,199.6438
192.000,119.8394,200.0000
193.000,113.6244,199.7470
194.000,107.2051,198.9047
195.000,100.5854,197.5067
196.000,93.7785,195.5980
197.000,86.8055,193.2312
198.000,79.6931,190.4639
199.000,72.4720,187.3551
200.000,65.1747,183.9624
201.000,57.8334,180.3405
202.000,50.4793,176.5394
203.000,43.1411,172.6041
204.000,35.8446,168.5738
205.000,28.6126,164.4823
206.000,21.4645,160.3584
207.000,14.4167,156.2263
208.000,7.4829,152.1061
209.000,0.6742,148.0144
210.000,-6.0004,143.9645
211.000,-12.5336,139.9675
212.000,-18.9197,136.0321
213.000,-25.1542,132.1651
214.000,-31.2338,128.3721
215.000,-37.1558,124.6572
216.000,-42.9182,121.0233
217.000,-48.5198,117.4727
218.000,-53.9594,114.0067
219.000,-59.2367,110.6262
220.000,-64.3513,107.3314
221.000,-69.3031,104.1221
222.000,-74.0925,100.9977
223.000,-78.7197,97.9574
224.000,-83.1854,95.0000
225.000,-87.4903,92.1242
226.000,-91.6351,89.3286
227.000,-95.6209,86.6113
228.000,-99.4487,83.9708
229.000,-103.1198,81.4050
230.000,-106.6354,78.9121
231.000,-109.9970,76.4902
232.000,-113.2059,74.1373
233.000,-116.2639,71.8513
234.000,-119.1726,69.6302
235.000,-121.9337,67.4721
236.000,-124.5489,65.3749
237.000,-127.0203,63.3368
238.000,-129.3496,61.3559
239.000,-131.5390,59.4302
240.000,-133.5904,57.5580
241.000,-135.5059,55.7375
242.000,-137.2877,53.9670
243.000,-138.9378,52.2448
244.000,-140.4586,50.5693
245.000,-141.8521,48.9390
246.000,-143.1207,47.3524
247.000,-144.2666,45.8082
248.000,-145.2920,44.3048
249.000,-146.1992,42.8411
250.000,-146.9905,41.4158
251.000,-147.6682,40.0277
252.000,-148.2345,38.6757
253.000,-148.6917,37.3587
254.000,-149.0421,36.0757
255.000,-149.2879,34.8257
256.000,-149.4313,33.6078
257.000,-149.4746,32.4211
258.000,-149.4199,31.2649
259.000,-149.2696,30.1382
260.000,-149.0256,29.0405
261.000,-148.6901,27.9709
262.000,-148.2654,26.9288
263.000,-147.7533,25.9136
264.000,-147.1561,24.9246
265.000,-146.4758,23.9614
266.000,-145.7143,23.0233
267.000,-144.8736,22.1100
268.000,-143.9557,21.2208
269.000,-142.9625,20.3553
270.000,-141.8959,19.5131
271.000,-140.7578,18.6938
272.000,-139.5499,17.8969
273.000,-138.2741,17.1222
274.000,-136.9321,16.3692
275.000,-135.5257,15.6376
276.000,-134.0566,14.9270
277.000,-132.5264,14.2371
278.000,-130.9367,13.5677
279.000,-129.2892,12.9183
280.000,-127.5855,12.2888
281.000,-125.8271,11.6788
282.000,-124.0155,11.0880
283.000,-122.1521,10.5162
284.000,-120.2385,9.9631
285.000,-118.2761,9.4285
286.000,-116.2662,8.9120
287.000,-114.2101,8.4134
288.000,-112.1093,7.9325
289.000,-109.9650,7.4690
290.000,-107.7785,7.0226
291.000,-105.5511,6.5931
292.000,-103.2839,6.1802
293.000,-100.9780,5.7837
294.000,-98.6348,5.4033
295.000,-96.2552,5.0388
296.000,-93.8405,4.6898
297.000,-91.3916,4.3561
298.000,-88.9095,4.0375
299.000,-86.3954,3.7337
300.000,-83.8502,3.4444
301.000,-81.2749,3.1693
302.000,-78.6703,2.9082
303.000,-76.0374,2.6607
304.000,-73.3770,2.4266
305.000,-70.6901,2.2056
306.000,-67.9774,1.9973
307.000,-65.2397,1.8015
308.000,-62.4779,1.6179
309.000,-59.6926,1.4462
310.000,-56.8846,1.2861
311.000,-54.0546,1.1372
312.000,-51.2032,0.9992
313.000,-48.3311,0.8718
314.000,-45.4390,0.7547
315.000,-42.5274,0.6475
316.000,-39.5969,0.5499
317.000,-36.6480,0.4616
318.000,-33.6814,0.3823
319.000,-30.6974,0.3115
320.000,-27.6966,0.2490
321.000,-24.6794,0.1944
322.000,-21.6462,0.1473
323.000,-18.5976,0.1075
324.000,-15.5338,0.0745
325.000,-12.4553,0.0480
326.000,-9.3623,0.0276
327.000,-6.2552,0.0131
328.000,-3.1344,0.0040
329.000,0.0000,0.0000
330.000,3.1476,0.0007
331.000,6.3082,0.0059
332.000,9.4816,0.0151
333.000,12.6675,0.0280
334.000,15.8659,0.0443
335.000,19.0764,0.0636
336.000,22.2991,0.0856
337.000,25.5336,0.1099
338.000,28.7800,0.1364
339.000,32.0381,0.1645
340.000,35.3078,0.1941
341.000,38.5891,0.2247
342.000,41.8819,0.2562
